year,month,day,close,volume,start,high,low
2019,2,15,"73,800","4,154,616","76,800","76,900","73,800"
2019,2,14,"77,400","2,313,376","75,800","77,400","75,100"
2019,2,13,"76,200","2,378,193","77,300","77,600","76,100"
2019,2,12,"75,900","3,526,701","74,100","76,400","73,900"
2019,2,11,"74,100","3,374,192","73,000","74,100","72,200"
2019,2,8,"73,500","4,012,485","75,200","75,500","73,000"
2019,2,7,"76,700","4,249,110","77,500","78,200","76,600"
2019,2,1,"75,900","3,349,965","75,400","76,400","74,700"
2019,1,31,"73,900","4,447,535","76,900","77,100","73,700"
2019,1,30,"75,900","5,304,841","73,500","76,300","73,000"
2019,1,29,"73,400","3,368,642","71,400","73,800","71,000"
2019,1,28,"71,800","4,972,189","74,700","74,900","71,200"
2019,1,25,"74,600","7,163,871","71,600","74,800","71,100"
2019,1,24,"70,500","6,914,092","66,900","70,500","66,900"
2019,1,23,"66,800","2,825,017","65,500","67,200","64,800"
2019,1,22,"66,600","4,047,917","67,900","68,000","65,700"
2019,1,21,"67,000","3,977,425","65,900","67,400","65,000"
2019,1,18,"64,600","2,263,599","65,000","65,700","63,900"
2019,1,17,"64,900","2,830,122","65,500","66,200","64,600"
2019,1,16,"64,800","2,478,497","63,800","64,900","62,700"
2019,1,15,"64,000","2,413,868","62,200","64,000","62,200"
2019,1,14,"62,100","3,282,892","64,300","65,100","62,000"
2019,1,11,"65,100","2,890,639","65,400","65,900","64,200"
2019,1,10,"65,300","6,034,432","64,100","65,600","64,000"
2019,1,9,"63,600","4,928,656","59,600","63,800","59,400"
2019,1,8,"59,200","3,062,192","57,900","60,500","57,600"
2019,1,7,"58,700","2,273,750","59,000","59,700","58,400"
2019,1,4,"58,300","3,388,087","57,500","58,500","56,700"
2019,1,3,"57,700","3,337,621","60,200","60,300","57,500"
2019,1,2,"60,600","1,934,295","61,300","61,400","60,000"
2018,12,28,"60,500","1,647,462","61,700","62,300","60,500"
2018,12,27,"61,600","3,047,798","61,600","61,900","60,600"
2018,12,26,"60,100","2,455,060","59,400","60,800","59,300"
2018,12,24,"60,400","2,101,703","59,600","60,700","59,200"
2018,12,21,"60,000","3,946,994","58,200","60,500","58,200"
2018,12,20,"58,600","4,889,709","59,300","59,400","58,100"
2018,12,19,"60,300","3,561,783","60,800","61,000","59,700"
2018,12,18,"61,100","3,098,206","61,000","61,900","60,800"
2018,12,17,"62,200","2,506,287","61,600","62,500","61,000"
2018,12,14,"61,800","5,617,675","65,200","65,300","61,200"
2018,12,13,"65,500","4,062,323","66,300","66,400","64,800"
2018,12,12,"66,200","2,901,875","65,000","66,200","64,900"
2018,12,11,"64,900","2,457,332","66,000","66,600","64,800"
2018,12,10,"65,500","2,206,084","65,900","65,900","64,700"
2018,12,7,"66,800","2,590,733","66,700","67,400","66,600"
2018,12,6,"66,000","3,902,275","67,800","68,200","65,700"
2018,12,5,"68,200","3,008,950","67,200","68,800","67,200"
2018,12,4,"69,000","3,222,060","69,900","70,400","68,400"
2018,12,3,"70,500","2,760,290","71,000","71,100","69,800"
2018,11,30,"69,600","4,167,055","71,500","71,600","68,800"
2018,11,29,"71,500","3,270,078","73,700","73,700","71,200"
2018,11,28,"71,900","2,441,991","71,000","72,000","70,700"
2018,11,27,"70,800","2,293,763","71,100","71,200","69,700"
2018,11,26,"70,900","2,361,766","69,200","71,300","69,000"
2018,11,23,"69,300","1,499,166","69,500","69,700","68,400"
2018,11,22,"69,300","1,966,126","68,100","69,700","68,000"
2018,11,21,"68,100","3,100,596","66,900","68,300","66,100"
2018,11,20,"67,500","3,325,563","67,000","68,200","67,000"
2018,11,19,"69,800","2,303,677","69,600","70,500","68,900"
2018,11,16,"70,100","2,894,513","72,600","72,900","70,000"
2018,11,15,"71,800","1,564,647","70,800","71,800","70,400"
2018,11,14,"70,400","2,783,377","71,400","72,100","70,200"
2018,11,13,"71,900","4,730,929","72,300","72,500","69,900"
2018,11,12,"74,500","3,328,433","72,200","74,500","71,800"
2018,11,9,"72,900","3,414,946","72,400","73,600","71,900"
2018,11,8,"72,900","3,930,969","72,900","73,300","72,600"
2018,11,7,"70,800","3,770,119","70,400","72,300","70,100"
2018,11,6,"70,100","2,624,868","70,500","70,600","69,100"
2018,11,5,"70,500","3,389,386","72,000","72,100","70,100"
2018,11,2,"72,600","5,334,082","70,600","72,800","69,100"
2018,11,1,"68,300","3,218,076","68,900","69,600","67,800"
2018,10,31,"68,200","5,038,931","69,300","70,400","67,600"
2018,10,30,"68,200","6,101,533","66,000","70,900","65,900"
2018,10,29,"66,800","4,252,977","66,600","67,800","64,800"
2018,10,26,"67,000","6,211,406","65,100","67,100","62,900"
2018,10,25,"64,700","5,859,332","64,700","66,000","63,200"
2018,10,24,"66,700","5,703,361","69,400","69,600","65,800"
2018,10,23,"69,100","3,175,869","69,600","70,000","68,600"
2018,10,22,"70,000","2,377,240","69,600","70,900","69,600"
2018,10,19,"70,800","2,688,930","68,100","70,900","67,800"
2018,10,18,"68,700","2,849,229","69,600","69,900","68,700"
2018,10,17,"70,400","2,653,053","71,400","71,700","70,300"
2018,10,16,"69,700","2,211,661","70,300","71,000","69,600"
2018,10,15,"70,300","3,727,297","71,600","71,700","69,900"
2018,10,12,"72,400","4,882,184","69,200","73,200","69,200"
2018,10,11,"69,000","4,936,490","67,600","70,200","67,500"
2018,10,10,"70,300","4,161,114","70,300","71,100","69,800"
2018,10,8,"71,200","2,856,291","69,500","71,800","69,400"
2018,10,5,"70,300","5,508,014","69,700","71,100","69,400"
