년/월/일,종가,대비,거래량(주),거래대금(원),시가,고가,저가,시가총액(백만),상장주식수(주)
2019-05-17,"71,600",-300,"2,412,668","174,457,436,000","72,500","73,300","71,400","52,124,969","728,002,365"
2019-05-16,"71,900","-2,600","3,467,027","253,183,969,000","74,400","75,100","71,600","52,343,370","728,002,365"
2019-05-15,"74,500",-100,"2,056,131","153,468,950,500","74,800","75,100","73,900","54,236,176","728,002,365"
2019-05-14,"74,600","1,100","3,712,697","273,538,471,100","72,200","75,100","71,600","54,308,976","728,002,365"
2019-05-13,"73,500",-900,"3,062,929","226,331,131,000","73,900","75,000","72,800","53,508,174","728,002,365"
2019-05-10,"74,400","-1,600","5,702,537","427,347,721,031","76,100","76,700","73,400","54,163,376","728,002,365"
2019-05-09,"76,000","-4,300","5,939,278","456,492,298,302","79,600","79,700","75,200","55,328,180","728,002,365"
2019-05-08,"80,300",400,"2,731,620","217,328,393,240","78,700","80,500","78,000","58,458,590","728,002,365"
2019-05-07,"79,900",-500,"2,700,371","214,873,218,154","79,200","80,400","78,700","58,167,389","728,002,365"
2019-05-03,"80,400",-300,"2,481,811","200,277,469,300","81,100","81,300","80,300","58,531,390","728,002,365"
2019-05-02,"80,700","1,700","3,092,434","249,273,521,200","79,700","81,200","79,100","58,749,791","728,002,365"
2019-04-30,"79,000","-1,000","2,960,242","234,229,762,800","79,400","80,700","78,100","57,512,187","728,002,365"
2019-04-29,"80,000","1,400","2,987,384","237,185,391,000","78,700","80,100","78,200","58,240,189","728,002,365"
2019-04-26,"78,600","-1,600","5,183,181","407,123,038,190","78,500","79,900","77,600","57,220,986","728,002,365"
2019-04-25,"80,200","1,700","5,586,360","448,430,949,700","78,400","81,500","78,100","58,385,790","728,002,365"
2019-04-24,"78,500","-2,500","5,318,487","419,931,562,900","81,500","81,500","77,500","57,148,186","728,002,365"
2019-04-23,"81,000",500,"1,779,318","144,167,458,100","81,000","81,800","80,400","58,968,192","728,002,365"
2019-04-22,"80,500","-1,300","1,887,109","152,272,668,800","81,500","81,800","79,900","58,604,190","728,002,365"
2019-04-19,"81,800","2,600","3,040,186","248,303,994,300","80,500","82,400","80,100","59,550,593","728,002,365"
2019-04-18,"79,200","-1,000","3,295,697","262,299,718,100","80,800","81,200","78,500","57,657,787","728,002,365"
2019-04-17,"80,200",-200,"2,886,956","233,930,030,600","81,000","82,300","80,000","58,385,790","728,002,365"
2019-04-16,"80,400",700,"2,206,997","176,847,664,600","79,900","80,800","79,100","58,531,390","728,002,365"
2019-04-15,"79,700","1,600","2,019,931","160,595,521,600","79,000","79,900","78,600","58,021,788","728,002,365"
2019-04-12,"78,100",-300,"2,317,264","180,753,009,950","77,400","78,800","77,400","56,856,985","728,002,365"
2019-04-11,"78,400",-200,"2,614,388","205,682,995,800","79,200","79,500","78,000","57,075,385","728,002,365"
2019-04-10,"78,600",800,"2,689,591","208,606,406,050","76,700","78,800","76,200","57,220,986","728,002,365"
