년/월/일,종가,대비,거래량(주),거래대금(원),시가,고가,저가,시가총액(백만),상장주식수(주)
2019-05-16,"127,500",-500,"1,005,933","130,611,722,500","133,000","135,000","127,000","27,242,694","213,668,187"
2019-05-15,"128,000",0,"494,972","63,212,993,000","127,500","130,000","125,500","27,349,528","213,668,187"
2019-05-14,"128,000","-1,000","442,314","56,730,051,500","128,500","129,500","127,000","27,349,528","213,668,187"
2019-05-13,"129,000","-1,000","384,073","49,709,271,500","128,000","131,000","128,000","27,563,196","213,668,187"
2019-05-10,"130,000","-1,000","544,413","70,936,538,000","131,500","134,000","128,000","27,776,864","213,668,187"
2019-05-09,"131,000","-4,500","810,123","107,469,860,500","135,000","135,500","131,000","27,990,532","213,668,187"
2019-05-08,"135,500",-500,"424,168","57,468,649,000","134,500","136,000","134,000","28,952,039","213,668,187"
2019-05-07,"136,000","-1,500","545,860","74,086,637,600","134,500","137,000","134,000","29,058,873","213,668,187"
2019-05-03,"137,500","-1,000","430,867","59,371,579,500","137,500","138,500","136,500","29,379,376","213,668,187"
2019-05-02,"138,500",0,"430,420","59,892,616,500","138,000","140,500","137,000","29,593,044","213,668,187"
2019-04-30,"138,500",-500,"623,895","86,758,552,500","139,500","140,500","138,000","29,593,044","213,668,187"
2019-04-29,"139,000","3,500","758,885","105,162,567,000","136,500","139,500","136,500","29,699,878","213,668,187"
2019-04-26,"135,500","-2,500","657,701","89,695,705,521","138,000","138,500","134,500","28,952,039","213,668,187"
2019-04-25,"138,000",-500,"598,551","82,498,863,000","138,500","139,000","136,500","29,486,210","213,668,187"
2019-04-24,"138,500","2,500","1,394,398","192,898,862,112","139,000","140,000","136,000","29,593,044","213,668,187"
2019-04-23,"136,000","2,000","480,332","65,156,322,500","134,000","137,000","133,000","29,058,873","213,668,187"
2019-04-22,"134,000",0,"231,200","30,827,334,000","133,000","134,500","132,000","28,631,537","213,668,187"
2019-04-19,"134,000",0,"335,516","45,010,003,000","135,000","135,500","133,000","28,631,537","213,668,187"
2019-04-18,"134,000","3,000","1,523,085","205,680,927,500","133,500","137,000","132,500","28,631,537","213,668,187"
2019-04-17,"131,000","2,500","535,629","69,723,496,500","128,500","131,000","127,500","27,990,532","213,668,187"
2019-04-16,"128,500","3,000","753,845","96,898,339,303","126,500","130,500","125,500","27,456,362","213,668,187"
2019-04-15,"125,500","-1,000","222,997","28,095,534,500","126,000","127,000","125,000","26,815,357","213,668,187"
2019-04-12,"126,500","-1,500","286,762","36,224,798,000","127,000","128,000","125,500","27,029,026","213,668,187"
2019-04-11,"128,000",500,"551,990","70,245,993,000","127,500","128,000","125,500","27,349,528","213,668,187"
2019-04-10,"127,500",500,"349,261","44,488,465,500","126,500","128,500","126,500","27,242,694","213,668,187"
2019-04-09,"127,000","-1,000","317,656","40,300,979,500","125,500","128,000","125,500","27,135,860","213,668,187"
2019-04-08,"128,000","2,000","455,205","58,038,991,500","126,500","128,500","125,500","27,349,528","213,668,187"
2019-04-05,"126,000","2,500","468,793","58,951,454,000","124,500","126,500","124,000","26,922,192","213,668,187"
2019-04-04,"123,500",-500,"464,644","57,514,153,500","123,000","125,000","122,500","26,388,021","213,668,187"
2019-04-03,"124,000","5,000","651,778","79,516,325,500","118,500","124,000","118,000","26,494,855","213,668,187"
2019-04-02,"119,000","-1,500","374,423","44,459,295,000","119,500","120,000","117,500","25,426,514","213,668,187"
2019-04-01,"120,500","1,000","363,959","43,797,875,448","120,000","121,000","119,000","25,747,017","213,668,187"
2019-03-29,"119,500",0,"432,923","51,987,242,000","120,000","122,000","119,000","25,533,348","213,668,187"
2019-03-28,"119,500","1,000","304,740","36,295,793,500","118,500","120,000","118,000","25,533,348","213,668,187"
2019-03-27,"118,500",0,"236,825","28,152,131,500","118,500","119,500","118,000","25,319,680","213,668,187"
2019-03-26,"118,500","-1,500","463,924","55,430,964,000","120,000","121,000","118,500","25,319,680","213,668,187"
2019-03-25,"120,000","-3,500","458,292","55,139,754,500","121,000","122,000","119,000","25,640,182","213,668,187"
2019-03-22,"123,500","-1,000","486,194","59,883,512,500","124,000","125,500","121,500","26,388,021","213,668,187"
2019-03-21,"124,500",500,"321,599","39,871,775,000","124,000","126,000","122,500","26,601,689","213,668,187"
2019-03-20,"124,000",0,"316,345","39,014,613,000","123,000","124,000","121,000","26,494,855","213,668,187"
2019-03-19,"124,000",0,"303,901","37,687,147,500","124,000","125,000","123,000","26,494,855","213,668,187"
2019-03-18,"124,000","3,000","383,652","47,254,251,000","122,000","124,000","121,500","26,494,855","213,668,187"
2019-03-15,"121,000","2,000","877,363","105,858,092,500","119,000","122,000","118,000","25,853,851","213,668,187"
2019-03-14,"119,000","-3,500","1,326,511","157,429,711,000","124,000","124,000","117,000","25,426,514","213,668,187"
2019-03-13,"122,500","-3,000","797,741","97,502,387,500","126,000","126,000","120,500","26,174,353","213,668,187"
2019-03-12,"125,500","4,500","621,289","77,323,893,250","121,500","125,500","121,500","26,815,357","213,668,187"
2019-03-11,"121,000","1,000","281,873","33,948,856,000","121,000","121,500","119,000","25,853,851","213,668,187"
2019-03-08,"120,000","-5,500","467,762","56,864,803,500","125,000","125,000","120,000","25,640,182","213,668,187"
2019-03-07,"125,500","1,000","791,500","99,224,689,000","126,500","129,000","123,000","26,815,357","213,668,187"
2019-03-06,"124,500","3,000","599,316","74,732,540,000","122,500","126,500","121,500","26,601,689","213,668,187"
2019-03-05,"121,500",-500,"428,825","51,691,934,500","121,500","122,000","119,500","25,960,685","213,668,187"
2019-03-04,"122,000","-4,500","937,284","114,712,970,000","125,000","126,000","121,000","26,067,519","213,668,187"
2019-02-28,"126,500","-2,500","946,738","120,587,896,500","127,500","129,000","126,000","27,029,026","213,668,187"
2019-02-27,"129,000","6,500","1,233,285","157,974,831,500","128,000","130,000","126,000","27,563,196","213,668,187"
2019-02-26,"122,500","1,500","781,497","95,979,202,500","121,500","124,000","121,500","26,174,353","213,668,187"
2019-02-25,"121,000",0,"314,081","38,029,189,500","120,500","122,500","120,000","25,853,851","213,668,187"
2019-02-22,"121,000","1,000","353,516","42,763,409,000","119,500","121,500","119,500","25,853,851","213,668,187"
2019-02-21,"120,000","1,000","588,691","70,790,279,000","118,500","121,000","118,500","25,640,182","213,668,187"
2019-02-20,"119,000",-500,"735,087","88,159,585,500","119,500","121,500","119,000","25,426,514","213,668,187"
2019-02-19,"119,500","-1,000","470,357","56,216,206,000","119,500","120,500","119,000","25,533,348","213,668,187"
2019-02-18,"120,500",-500,"557,734","67,044,519,500","121,000","122,000","118,500","25,747,017","213,668,187"
2019-02-15,"121,000",-500,"446,734","54,074,143,000","121,000","121,500","120,000","25,853,851","213,668,187"
2019-02-14,"121,500","-3,000","1,072,937","129,587,060,500","123,500","124,000","119,500","25,960,685","213,668,187"
2019-02-13,"124,500","-4,000","620,173","77,942,802,500","128,500","128,500","124,000","26,601,689","213,668,187"
2019-02-12,"128,500","1,000","443,035","56,812,181,500","129,000","129,000","126,500","27,456,362","213,668,187"
2019-02-11,"127,500","2,000","425,879","54,325,591,000","126,000","129,000","126,000","27,242,694","213,668,187"
2019-02-08,"125,500",-500,"365,392","45,988,751,000","125,500","126,500","124,500","26,815,357","213,668,187"
2019-02-07,"126,000","-3,500","530,165","67,295,907,500","128,500","129,000","125,500","26,922,192","213,668,187"
2019-02-01,"129,500",0,"392,755","50,881,031,500","129,500","130,000","128,500","27,670,030","213,668,187"
2019-01-31,"129,500",0,"509,642","66,073,780,500","130,000","131,000","128,500","27,670,030","213,668,187"
2019-01-30,"129,500","1,500","463,542","59,581,091,470","128,500","129,500","126,500","27,670,030","213,668,187"
2019-01-29,"128,000","1,500","445,671","56,939,066,000","126,500","128,500","126,000","27,349,528","213,668,187"
2019-01-28,"126,500","-2,000","541,428","68,676,537,000","128,500","130,000","125,500","27,029,026","213,668,187"
2019-01-25,"128,500","-1,500","535,338","68,895,773,500","127,500","130,000","127,500","27,456,362","213,668,187"
2019-01-24,"130,000","1,000","778,826","99,880,381,000","128,000","130,000","124,500","27,776,864","213,668,187"
2019-01-23,"129,000","1,500","422,209","54,450,345,608","128,000","130,000","127,000","27,563,196","213,668,187"
2019-01-22,"127,500",500,"446,263","56,418,274,500","126,500","128,000","125,000","27,242,694","213,668,187"
2019-01-21,"127,000","-4,000","657,273","84,459,208,500","132,000","132,000","126,500","27,135,860","213,668,187"
2019-01-18,"131,000","1,500","556,106","72,713,698,500","129,500","131,500","129,500","27,990,532","213,668,187"
2019-01-17,"129,500","1,000","513,711","66,247,137,500","128,500","130,000","127,500","27,670,030","213,668,187"
2019-01-16,"128,500","1,000","397,335","50,688,177,500","127,000","129,000","126,000","27,456,362","213,668,187"
2019-01-15,"127,500","6,000","828,015","104,572,972,500","121,000","128,000","120,500","27,242,694","213,668,187"
2019-01-14,"121,500","-1,500","297,709","36,267,408,000","122,500","124,000","121,000","25,960,685","213,668,187"
2019-01-11,"123,000",0,"440,529","54,188,595,250","123,000","124,500","122,000","26,281,187","213,668,187"
2019-01-10,"123,000",0,"648,837","79,044,611,000","121,500","123,000","119,500","26,281,187","213,668,187"
2019-01-09,"123,000","3,500","846,392","103,424,408,500","119,000","124,000","119,000","26,281,187","213,668,187"
2019-01-08,"119,500","-1,000","582,117","69,683,905,000","121,500","123,500","118,500","25,533,348","213,668,187"
2019-01-07,"120,500","1,000","428,416","51,588,956,000","121,000","121,500","119,500","25,747,017","213,668,187"
2019-01-04,"119,500","3,000","1,326,978","160,184,770,000","116,000","123,000","116,000","25,533,348","213,668,187"
2019-01-03,"116,500","2,500","608,591","71,200,837,500","113,000","118,500","113,000","24,892,344","213,668,187"
2019-01-02,"114,000","-4,500","565,493","65,112,405,500","117,500","118,000","113,500","24,358,173","213,668,187"
2018-12-28,"118,500",0,"398,062","47,289,560,500","118,500","120,000","117,500","25,319,680","213,668,187"
2018-12-27,"118,500","-1,500","458,613","54,529,979,000","118,000","120,000","117,500","25,319,680","213,668,187"
2018-12-26,"120,000","-3,000","550,552","66,075,410,000","121,500","122,000","118,500","25,640,182","213,668,187"
2018-12-24,"123,000",500,"301,455","37,113,745,500","122,000","124,000","121,500","26,281,187","213,668,187"
2018-12-21,"122,500","1,000","643,918","78,512,115,500","120,500","122,500","119,500","26,174,353","213,668,187"
2018-12-20,"121,500","-1,500","682,779","83,684,515,326","121,500","124,500","120,500","25,960,685","213,668,187"
2018-12-19,"123,000","5,000","841,175","102,074,507,500","118,500","123,500","118,500","26,281,187","213,668,187"
2018-12-18,"118,000","1,500","889,260","105,259,141,000","117,500","120,000","116,000","25,212,846","213,668,187"
2018-12-17,"116,500",0,"602,835","69,345,391,000","115,000","118,500","112,500","24,892,344","213,668,187"
2018-12-14,"116,500","-2,000","534,429","62,704,131,500","119,000","120,000","115,000","24,892,344","213,668,187"
2018-12-13,"118,500",0,"1,093,587","129,608,877,000","116,500","120,000","116,500","25,319,680","213,668,187"
2018-12-12,"118,500","7,000","1,558,536","184,993,177,720","111,500","121,500","111,000","25,319,680","213,668,187"
2018-12-11,"111,500","1,000","372,363","41,100,711,500","109,500","112,500","108,500","23,824,003","213,668,187"
2018-12-10,"110,500",-500,"367,098","40,415,995,500","108,500","111,000","108,500","23,610,335","213,668,187"
2018-12-07,"111,000",500,"566,780","62,793,931,315","110,000","112,000","109,500","23,717,169","213,668,187"
2018-12-06,"110,500","3,000","896,541","99,357,641,000","107,500","112,500","106,000","23,610,335","213,668,187"
2018-12-05,"107,500",0,"519,108","55,850,891,500","106,000","108,500","106,000","22,969,330","213,668,187"
2018-12-04,"107,500","-1,000","612,079","65,463,463,228","108,500","108,500","105,500","22,969,330","213,668,187"
2018-12-03,"108,500","1,500","723,565","78,386,090,517","108,500","109,000","106,500","23,182,998","213,668,187"
2018-11-30,"107,000","7,000","3,017,114","320,622,891,000","103,000","108,000","102,500","22,862,496","213,668,187"
2018-11-29,"100,000","-1,000","811,011","81,710,222,300","102,000","103,000","99,100","21,366,819","213,668,187"
2018-11-28,"101,000",0,"602,728","60,523,148,878","100,500","101,500","99,800","21,580,487","213,668,187"
2018-11-27,"101,000","5,900","1,436,195","142,786,228,663","95,900","101,500","95,800","21,580,487","213,668,187"
2018-11-26,"95,100","1,400","663,188","63,090,694,300","93,600","95,800","93,500","20,319,845","213,668,187"
